catalogue,title,authors,doi,year,journal,species,study_type,bulk_transcriptomics,single_cell_transcriptomics,imaging,spatial_transcriptomics,spatial_proteomics,chip_seq,metabolomics,proteomics,lineage_barcoding,time_points_days,tissues,summary,public_links
gastruloid,Gastruloids enable modeling of the earliest stages of human cardiac and hepatic vascularization,Oscar J. Abilez; Joseph C. Wu,10.1126/science.adu9375,2025,Science,Human,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,Multiple (gastruloid/vascular organoid induction time course),Cardiac; endothelium/vascular; hepatic/endoderm; mesoderm,Models early human cardiac and hepatic vascularisation in gastruloid/vascular organoids.,GEO/SRA in article data availability
gastruloid,Glycolytic activity instructs germ layer proportions through regulation of Nodal and Wnt signaling,Kristina S. Stapornwongkul; Vikas Trivedi,10.1016/j.stem.2025.03.011,2025,Cell Stem Cell,Mouse + human,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,~2–5 (~4 time points),Primitive streak; mesoderm; endoderm; ectoderm,Glycolysis as upstream regulator of Nodal/Wnt/Fgf signalling and germ-layer proportions.,ENA PRJNA1186714; PMC12048219
gastruloid,Integrated molecular-phenotypic profiling reveals metabolic control of morphological variation in a stem-cell-based embryo model,Alba Villaronga-Luque; Jesse V. Veenvliet,10.1016/j.stem.2025.03.012,2025,Cell Stem Cell,Mouse,primary,❌,✅,✅,❌,❌,❌,✅,❌,❌,2–5 (48–120 h; TLS at 120 h),Mesoderm; trunk-like lineages; gastruloid/TLS cell states,"Links molecular, imaging and metabolic phenotypes to morphological variation in gastruloids/TLS.",GEO GSE250136
gastruloid,Lineage recording in monoclonal gastruloids reveals heritable modes of early development,Samuel G. Regalado; Chengxiang Qiu,10.1101/2025.05.23.655664,2025,bioRxiv (preprint),Mouse,primary,❌,✅,❌,❌,❌,❌,❌,❌,✅,See preprint (monoclonal gastruloid + lineage recording),Mesoderm; neural; multipotent progenitors,DNA Typewriter lineage recording in monoclonal gastruloids shows heritable founder mESC state biases.,https://doi.org/10.1101/2025.05.23.655664; PMC12139830
gastruloid,Marangoni-like tissue flows enhance symmetry breaking of embryonic organoids,Simon Gsell; Pierre-François Lenne,10.1038/s41567-025-02802-2,2025,Nature Physics,Mouse,primary,❌,❌,✅,❌,❌,❌,❌,❌,❌,~2–4 (live imaging across early symmetry-breaking),Posterior/symmetry-breaking domain; endoderm-like region,Tissue-scale Marangoni-like flows promote symmetry breaking in gastruloids.,Nature Physics supplementary movies/data
gastruloid,Modelling co-development between the somites and neural tube in human trunk-like structures,Komal Makwana; Louise Tilley,10.1038/s41556-025-01813-8,2025,Nature Cell Biology,Human,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,See article (TLS co-development time course),Somite; neural tube; mesoderm; neural,Human trunk-like structures model somite–neural-tube co-development via self-organised signalling.,https://doi.org/10.1038/s41556-025-01813-8
gastruloid,Morphogenetic constraints in the development of gastruloids: Implications for mouse gastrulation,Ulla-Maj Fiuza; Sara Bonavia,10.1016/j.cdev.2025.204043,2025,Cells & Development,Mouse,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,See article (size and constraint regimes),Germ layers; polarity/elongation domains,Morphogenetic constraints and size windows for robust gastruloid morphology vs transcription.,https://doi.org/10.1016/j.cdev.2025.204043
gastruloid,N2B27 media formulations influence gastruloid development,Tina Balayo; Sharna Lunn,10.1242/dev.204774,2025,Development,Mouse,primary,✅,❌,✅,❌,❌,❌,❌,❌,❌,See article (N2B27 vs NDiff227 comparison),Anterior/neural; paraxial mesoderm,Home-made N2B27 vs commercial NDiff227 media shift elongation timing and neural-vs-mesoderm bias.,https://doi.org/10.1242/dev.204774
gastruloid,Non-cell-autonomous control of mouse gastruloid development by the ultra-conserved lncRNA T-UCstem1,Arianna Coppola; Annalisa Fico,10.1038/s44318-025-00558-2,2025,The EMBO Journal,Mouse,primary,✅,✅,✅,❌,❌,❌,❌,❌,❌,~2–4 (~2–3 time points),Pluripotent; mesoderm/posterior,lncRNA T-UCstem1 controls A–P extension and differentiation non-cell-autonomously.,GEO/SRA in article data availability
gastruloid,Single-cell spatial mapping reveals reproducible cell type organization and spatially-dependent gene expression in gastruloids,Catherine G. Triandafillou; Arjun Raj,10.1101/2025.07.14.664617,2025,bioRxiv / PMC preprint,Mouse,primary,❌,✅,✅,✅,❌,❌,❌,❌,❌,~5 (main endpoint ~120 h),NMP; neural; mesoderm; somite; endoderm,seqFISH spatial single-cell maps of cell-type organisation in individual gastruloids.,bioRxiv/PMC; supplementary data
gastruloid,Size-dependent temporal decoupling of morphogenesis and transcriptional programs in pseudoembryos,Isma Bennabi; Thomas Gregor,10.1126/sciadv.adv7790,2025,Science Advances,Mouse,primary,✅,✅,✅,❌,❌,❌,❌,❌,❌,Multiple (size-series time courses),Epiblast; primitive streak; mesoderm,Initial aggregate size decouples morphological vs transcriptional timing.,GEO GSE286428; GSE286273; ENA PRJNA1209118/PRJNA1208511/PRJNA1208519
gastruloid,Stem cell culture conditions affect in vitro differentiation potential and mouse gastruloid formation,Marloes Blotenburg; Lianne Suurenbroek,10.1371/journal.pone.0317309,2025,PLOS ONE,Mouse,primary,✅,✅,✅,❌,❌,❌,❌,❌,❌,See article (pre-culture ESLIF/2i schedules),Mesoderm; pluripotent; Brachyury timing,mESC pre-culture pluripotency/epigenetic state affects gastruloid reproducibility and lineage composition.,GEO GSE268783; GSE268814; GSE268816; https://doi.org/10.1371/journal.pone.0317309
gastruloid,Cell-cell communication controls the timing of gastruloid symmetry-breaking,David Oriola; Vikas Trivedi,10.1101/2024.12.16.628776,2024,bioRxiv,Mouse,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,~0–2 (~3 early time points),Posterior/mesoderm (T+); pluripotent-like; anterior-like,Cell–cell communication and feedback control timing of T/Brachyury symmetry breaking.,ArrayExpress E-MTAB-12749; GitHub/DockerHub analysis resources
gastruloid,Coordination between endoderm progression and mouse gastruloid elongation controls endodermal morphotype choice,Naama Farag; Iftach Nachman,10.1016/j.devcel.2024.05.017,2024,Developmental Cell,Mouse,primary,❌,❌,✅,❌,❌,❌,❌,❌,❌,2–4 (48–96 h live imaging),Endoderm; mesoderm,Live imaging + ML to predict and steer definitive endoderm morphotype variability.,Zenodo 10.5281/zenodo.13928013
gastruloid,Deciphering lineage specification during early embryogenesis in mouse gastruloids using multilayered proteomics,Suzan Stelloo; Michiel Vermeulen,10.1016/j.stem.2024.04.017,2024,Cell Stem Cell,Mouse + human validation,primary,✅,✅,✅,❌,❌,✅,❌,✅,❌,~5 matched gastruloid (+ embryo) stages,Mesoderm; PSM/somite; NMP; ectoderm; endoderm,Proteome/phosphoproteome dynamics and regulators (e.g. ZEB2) of lineage specification.,GEO GSE229029; PRIDE PXD041309/PXD041328/PXD048347
gastruloid,Early autonomous patterning of the anteroposterior axis in gastruloids,Kerim Anlaş; Vikas Trivedi,10.1242/dev.202171,2024,Development,Mouse,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,~0–2 (~4 early time points),Pluripotent; primitive streak; mesendoderm; anterior/posterior,Early autonomous A–P patterning and cell-state emergence.,ArrayExpress E-MTAB-12749
gastruloid,Gastruloids are competent to specify both cardiac and skeletal muscle lineages,Laurent Argiro; Fabienne Lescroart,10.1038/s41467-024-54466-w,2024,Nature Communications,Mouse,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,~0–11 (~6 sampled points to day 11),Cardiac; skeletal muscle; endothelium; endoderm; ectoderm; mesenchyme,"Cardiopharyngeal, cardiac, skeletal muscle and endothelial trajectories in gastruloids.",GEO GSE232773; Zenodo 10.5281/zenodo.14188076
gastruloid,Mannose controls mesoderm specification and symmetry breaking in mouse gastruloids,Chaitanya Dingare; Benjamin Steventon,10.1016/j.devcel.2024.03.031,2024,Developmental Cell,Mouse,primary,❌,❌,✅,❌,❌,❌,✅,✅,❌,~2–5 (~4 time points),Mesoderm; posterior elongation,"Mannose and 2-DG affect mesoderm specification, glycosylation and axial elongation.",Metabolomics Workbench; Dev Cell supplementary data
gastruloid,Reconstructing axial progenitor field dynamics in mouse stem cell-derived embryoids,Adriano Bolondi; Michelle M. Chan,10.1016/j.devcel.2024.03.024,2024,Developmental Cell,Mouse,primary,❌,✅,✅,❌,❌,❌,❌,❌,✅,~4 (trunk embryoid time course),NMP; neural; somitic/axial progenitors,Cas9 molecular recording of NMP fate dynamics in trunk embryoids.,Dev Cell supplementary data
gastruloid,Recording morphogen signals reveals mechanisms underlying gastruloid symmetry breaking,Harold M. McNamara; Jared E. Toettcher,10.1038/s41556-024-01521-9,2024,Nature Cell Biology,Mouse,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,~2–4 (~4 time points),Posterior/NMP-like; anterior; BMP/Nodal-recorded populations,Synthetic recorders link early Nodal/BMP/Wnt histories to later A–P organisation.,PMC/source supplementary data
gastruloid,Control of gastruloid patterning and morphogenesis by the Erk and Akt signaling pathways,Evan J. Underhill; Jared E. Toettcher,10.1242/dev.201663,2023,Development,Mouse,primary,❌,❌,✅,❌,❌,❌,❌,❌,❌,~2–4 (~3 time points),Presomitic mesoderm; precardiac mesoderm; anterior/posterior mesoderm,"Erk and Akt gradients control morphogenesis, proliferation and mesodermal fate allocation.",Addgene 207328–207329; Development supplementary data
gastruloid,Gastruloid optimization,Lara Avni; Iftach Nachman,10.1042/etls20230096,2023,Emerging Topics in Life Sciences,Mouse,review,❌,❌,❌,❌,❌,❌,❌,❌,❌,—,Germ layers; endoderm morphotypes (conceptual),Review of gastruloid variability and strategies to reduce morphogenetic divergence.,PMC10754328
gastruloid,Multimodal characterization of murine gastruloid development,Simon Suppinger; Prisca Liberali,10.1016/j.stem.2023.04.018,2023,Cell Stem Cell,Mouse,primary,✅,✅,✅,❌,❌,❌,❌,❌,❌,0–5 (~0–120 h; ~5 time points),Epiblast/pluripotent; primitive streak; mesoderm; neuroectoderm; endoderm,Multimodal reference of gastruloid development and symmetry breaking.,GEO GSE229513 / GSE229386; GitHub
gastruloid,Cell-state transitions and collective cell movement generate an endoderm-like region in gastruloids,Ali Hashmi; Pierre-François Lenne,10.7554/eLife.59371,2022,eLife,Mouse,primary,❌,❌,✅,❌,❌,❌,❌,❌,❌,~2–4 (~3 time points),Endoderm-like; posterior/mesoderm-like,Endoderm-like region emerges via cell-state transitions and collective movement.,eLife figures/data; PMC
gastruloid,Inter-gastruloid heterogeneity revealed by single cell transcriptomics time course: implications for organoid based perturbation studies,Leah U. Rosen; L. Carine Stapel,10.1101/2022.09.27.509783,2022,bioRxiv (preprint),Mouse,primary,❌,✅,❌,❌,❌,❌,❌,❌,❌,3–5 (~half-day intervals),Mesoderm/somitic; neural/ectoderm,Individual-gastruloid MULTI-seq scRNA-seq reveals early mesoderm-vs-neural inter-gastruloid bifurcation linked to Wnt activity.,GEO GSE212050; PRJNA873702; https://doi.org/10.1101/2022.09.27.509783
gastruloid,Capturing cardiogenesis in gastruloids,Gioele Rossi; Matthias P. Lutolf,10.1016/j.stem.2020.10.013,2021,Cell Stem Cell,Mouse,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,Multiple (cardiac gastruloid protocol time course),Cardiac; endothelium; mesoderm; neural-associated,Modified gastruloid conditions to capture early cardiac specification and beating regions.,GEO/SRA in data availability
gastruloid,Mouse embryonic stem cells self-organize into trunk-like structures with neural tube and somites,Jesse V. Veenvliet; Bernhard G. Herrmann,10.1126/science.aba4937,2020,Science,Mouse,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,Multiple (~4–5 culture days for TLS induction),NMP; neural tube; somite; endoderm; trunk mesoderm,TLS with neural tube and somite-like compartments from gastruloid-related aggregates.,Science supplementary data; sequencing resources
gastruloid,Multi-axial self-organization properties of mouse embryonic stem cells into gastruloids,Leonardo Beccari; Alfonso Martinez Arias,10.1038/s41586-018-0578-0,2018,Nature,Mouse,primary,❌,❌,✅,❌,❌,❌,❌,❌,❌,Several (aggregation and CHIR-timed morphogenesis),Primitive streak-like; mesoderm; neural-like; somitic/axial,Foundational demonstration of multi-axial self-organisation in mouse gastruloids.,Nature supplementary data
